,assignee_name,pub_number,cpc_code,filing_date,filing_year,country_code
120,ALIBABA GROUP HOLDING LTD,CN-107292684-A,G06Q30/06,20160330,2016,CN
121,SONY CORP,CN-106920142-A,G06Q30/06,20160913,2016,CN
122,HOME DEPOT INT INC,CA-2943546-A1,G06Q30/06,20160928,2016,CA
123,THE REYNOLDS AND REYNOLDS COMPANY,CA-2944764-A1,G06Q30/06,20161005,2016,CA
124,WAL-MART STORES INC,US-2017004176-A1,G06Q30/06,20160621,2016,US
125,STUBBLR INC,US-2017061509-A1,G06Q30/06,20160808,2016,US
126,PENILLA ANGEL A,US-2016117759-A1,G06Q30/06,20160106,2016,US
127,AGGARWAL SANDEEP,US-2017236174-A1,G06Q30/06,20161012,2016,US
128,HIPMUNK INC,US-10482520-B2,G06Q30/06,20160211,2016,US
129,SEO JIN SEOK,KR-20170141383-A,G06Q30/06,20160615,2016,KR
130,TOSHIBA TEC KK,US-2016203680-A1,G06Q30/06,20160105,2016,US
131,AMAZON TECH INC,US-2016196602-A1,G06Q30/06,20160315,2016,US
132,NIKE INT LTD,JP-2016186799-A,G06Q30/06,20160609,2016,JP
133,MASTERCARD INTERNATIONAL INC,WO-2017116624-A1,G06Q30/06,20161206,2016,WO
134,KIM HYOUNG-CHEOL,WO-2016163846-A3,G06Q30/06,20160411,2016,WO
135,WORLD FORCE INT CO LTD,EP-3306561-A4,G06Q30/06,20160602,2016,EP
136,PAN ZHONGGUANG,CA-2950852-A1,G06Q30/06,20161207,2016,CA
137,EBAY INC,CN-107533428-A,G06Q30/06,20160513,2016,CN
138,CASIO COMPUTER CO LTD,CN-106169141-A,G06Q30/06,20160519,2016,CN
139,CASIO COMPUTER CO LTD,US-2017090697-A1,G06Q30/06,20160624,2016,US
140,PAYPAL INC,US-2016140631-A1,G06Q30/06,20160125,2016,US
141,AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC,US-2018165738-A1,G06Q30/06,20161208,2016,US
142,KIM HEE DO,KR-20180049756-A,G06Q30/06,20161103,2016,KR
143,MOON BYUNG JIN,KR-101821054-B1,G06Q30/06,20160825,2016,KR
144,MICHEL ENERGY INC,US-2017039626-A1,G06Q30/06,20160809,2016,US
145,LICKEDY LLC,US-2017270583-A1,G06Q30/06,20161122,2016,US
146,KIM JEONG SOO,KR-20180059091-A,G06Q30/06,20161125,2016,KR
147,CHEIL COMMUNICATIONS INC,KR-20170103453-A,G06Q30/06,20160304,2016,KR
148,MOON KANG HYUN,KR-20180024700-A,G06Q30/06,20160831,2016,KR
149,IBM,US-2016196597-A1,G06Q30/06,20160317,2016,US
150,METAIL LTD,US-2016180597-A1,G06Q30/06,20160226,2016,US
151,ERICSSON TELEFON AB L M,US-2019147518-A1,G06Q30/06,20160421,2016,US
152,HUR MIN,KR-20160015349-A,G06Q30/06,20160122,2016,KR
153,FUJIFILM CORP,EP-3125184-A1,G06Q30/06,20160714,2016,EP
154,SUNRISE R&D HOLDINGS LLC,CA-2984606-A1,G06Q30/06,20160502,2016,CA
155,VISA INT SERVICE ASS,JP-2017102934-A,G06Q30/06,20161220,2016,JP
156,JIANGSU POSINDA ELECTRONIC SCIENCE & TECH CO LTD,CN-107516257-A,G06Q30/06,20160831,2016,CN
157,IBM,US-2016364780-A1,G06Q30/06,20160330,2016,US
158,CANON KK,KR-20170073485-A,G06Q30/06,20161208,2016,KR
159,IBM,US-2017262923-A1,G06Q30/06,20160314,2016,US
160,EBAY INC,US-2016343066-A1,G06Q30/06,20160803,2016,US
161,SK PLANET CO LTD,KR-20160128966-A,G06Q30/06,20161028,2016,KR
162,OWIN INC,KR-20180009444-A,G06Q30/06,20160718,2016,KR
163,ADOBE SYSTEMS INC,US-2017228811-A1,G06Q30/06,20160204,2016,US
164,MICROSOFT TECHNOLOGY LICENSING LLC,US-2017323357-A1,G06Q30/06,20160509,2016,US
165,DELIALL VENTURES,KR-20180034908-A,G06Q30/06,20160928,2016,KR
166,MICROSOFT TECHNOLOGY LICENSING LLC,US-2016321718-A1,G06Q30/06,20160714,2016,US
167,ALIBABA GROUP HOLDING LTD,KR-20170140226-A,G06Q30/06,20160421,2016,KR
168,[24]7 AI INC,AU-2016354551-B2,G06Q30/06,20161111,2016,AU
169,NEC CORP,WO-2016151986-A1,G06Q30/06,20160127,2016,WO
170,SARONIKOS TRADING & SERVICES UNIPESSOAL LDA,EP-3465589-A1,G06Q30/06,20160603,2016,EP
171,WAL MART STORES INC,BR-112017020614-A2,G06Q30/06,20160323,2016,BR
172,HUAINAN NONGKANG E-COMMERCE CO LTD,CN-106651493-A,G06Q30/06,20160908,2016,CN
173,PING AN TECH SHENZHEN CO LTD,CN-107784547-A,G06Q30/06,20160928,2016,CN
174,CHOI WON HYUK,KR-20180068214-A,G06Q30/06,20161213,2016,KR
175,KATCHER ROBERT,US-2016267565-A1,G06Q30/06,20160520,2016,US
176,NEXTEV USA INC,US-2018009446-A1,G06Q30/06,20161231,2016,US
177,BORUHOVIN ELIZABETH,US-2017300997-A1,G06Q30/06,20161022,2016,US
178,LOWES COMPANIES INC,US-2017330273-A1,G06Q30/06,20160510,2016,US
179,RADNER ALEXANDER J C,WO-2017004488-A1,G06Q30/06,20160701,2016,WO
180,CHO BYEONG SEOK,KR-20170091402-A,G06Q30/06,20160201,2016,KR
181,SELLMATE CO LTD,KR-101779537-B1,G06Q30/06,20160419,2016,KR
182,CHENG QIANG,CN-105830111-A,G06Q30/06,20160125,2016,CN
183,PROCTER & GAMBLE,US-2016350828-A1,G06Q30/06,20160525,2016,US
184,KIM HYUN JUNG,KR-20170082396-A,G06Q30/06,20160106,2016,KR
185,COUPGON INC,CA-2936750-A1,G06Q30/06,20160721,2016,CA
186,ELECTRONICS & TELECOMMUNICATIONS RES INST,KR-20180052930-A,G06Q30/06,20161111,2016,KR
187,ADP LLC,US-2017270588-A1,G06Q30/06,20160316,2016,US
188,SQUARE INC,US-2018096414-A1,G06Q30/06,20160930,2016,US
189,ECOLE INC,US-2016275593-A1,G06Q30/06,20160219,2016,US
190,YANG CHEN,US-2018060931-A1,G06Q30/06,20161024,2016,US
191,YANG CHEN,TW-I622006-B,G06Q30/06,20160831,2016,TW
192,NIKE INNOVATE CV,KR-20170102931-A,G06Q30/06,20160121,2016,KR
193,SK PLANET CO LTD,KR-20160128976-A,G06Q30/06,20161028,2016,KR
194,XEROX CORP,US-2017227367-A1,G06Q30/06,20160209,2016,US
195,RIDE,KR-20170127246-A,G06Q30/06,20160511,2016,KR
196,ONU LLC,US-2017039610-A1,G06Q30/06,20161020,2016,US
197,WEBSOFT LTD,WO-2017069639-A1,G06Q30/06,20161020,2016,WO
198,ALIBABA GROUP HOLDING LTD,CN-107274243-A,G06Q30/06,20160408,2016,CN
199,WAL MART STORES INC,US-2018165743-A1,G06Q30/06,20161214,2016,US
200,INTRACTO GROUP NV,BE-1024855-A1,G06Q30/06,20161230,2016,BE
201,ESSILOR INT,EP-3182362-A1,G06Q30/06,20160324,2016,EP
202,SI SHANG HAI PAN SHI TOU ZI GUAN LI YOU XIAN GONG,AU-2016262718-A1,G06Q30/06,20161124,2016,AU
203,TENCENT TECH (SHENZHEN) CO LTD,CN-106779951-A,G06Q30/06,20161221,2016,CN
204,WITHAKE STEPHAN,DE-102016118882-A1,G06Q30/06,20161005,2016,DE
205,CHUNG SOO JIN,KR-101728099-B1,G06Q30/06,20160129,2016,KR
206,JONES MARIA FRANCISCA,US-2017192798-A1,G06Q30/06,20161230,2016,US
207,HBP INC,US-2017069005-A1,G06Q30/06,20160826,2016,US
208,HAN JEONG HYEON,KR-20170138909-A,G06Q30/06,20161209,2016,KR
209,OKUNO YUMI,WO-2017145198-A1,G06Q30/06,20160226,2016,WO
210,AUTOFACTORY INC,WO-2017111195-A1,G06Q30/06,20160104,2016,WO
211,ALIBABA GROUP HOLDING LTD,WO-2017064567-A9,G06Q30/06,20161007,2016,WO
212,SAMSUNG ELECTRONICS CO LTD,KR-20180054365-A,G06Q30/06,20161115,2016,KR
213,WAL-MART STORES INC,US-2016328784-A1,G06Q30/06,20160411,2016,US
214,HOUGH KENNETH JAMES MR,AU-2016200414-A1,G06Q30/06,20160125,2016,AU
215,UNIV HEFEI TECHNOLOGY,CN-105976220-A,G06Q30/06,20160425,2016,CN
216,SHANXI TEXIN HUANYU INFORMATION TECH CO LTD,CN-105931101-A,G06Q30/06,20160419,2016,CN
