imdb_id,Biography,Comedy,Crime,Drama,Romance,Mystery_Thriller_Horror,Sci-Fi_Fantasy,Family_Animation,Action_Adventure,History_War,Others
tt0103859,0,1,0,1,1,0,0,0,0,0,0
tt0103874,0,0,0,0,1,1,1,0,0,0,0
tt0104070,0,1,0,0,0,1,1,0,0,0,0
tt0104215,0,0,0,0,0,0,0,0,1,0,0
tt0104257,0,0,0,1,0,1,0,0,0,0,0
tt0104348,0,0,1,1,0,1,0,0,0,0,0
tt0104427,1,0,1,1,0,0,0,0,0,0,0
tt0104431,0,1,0,0,0,0,0,1,1,0,0
tt0104691,0,0,0,1,1,0,0,0,1,1,0
tt0104694,0,1,0,1,0,0,0,0,0,0,1
tt0104714,0,0,1,0,0,1,0,0,1,0,0
tt0104797,1,0,0,1,1,0,0,0,0,1,0
tt0104815,0,0,1,1,1,1,0,0,1,0,0
tt0104839,0,0,0,1,1,0,0,0,1,0,0
tt0104850,0,1,0,0,1,1,1,0,0,0,0
tt0104868,0,1,0,1,0,0,0,1,0,0,1
tt0104940,0,1,0,1,0,0,1,1,0,0,1
tt0104952,0,1,1,0,0,0,0,0,0,0,0
tt0105112,0,0,0,0,0,1,0,0,1,0,0
tt0105211,0,0,0,1,0,0,0,0,0,0,0
tt0105217,0,0,1,1,0,1,0,0,0,0,0
tt0105236,0,0,1,1,0,1,0,0,0,0,0
tt0105695,0,0,0,1,0,0,0,0,0,0,1
tt0105793,0,1,0,0,0,0,0,0,0,0,1
tt0106223,0,1,0,1,0,0,0,1,1,0,0
tt0106226,0,0,0,1,1,0,0,0,0,0,0
tt0106233,0,1,0,0,0,0,0,0,1,0,1
tt0106246,1,0,0,1,0,1,0,0,1,0,0
tt0106308,0,1,0,0,0,1,1,0,0,0,0
tt0106469,0,0,1,1,0,0,0,0,0,0,0
tt0106582,0,0,0,0,0,1,0,0,1,0,0
tt0106611,0,1,0,0,0,0,0,1,1,0,1
tt0106677,0,1,0,0,0,0,0,0,0,0,0
tt0106792,0,1,0,0,0,1,0,0,0,0,0
tt0106918,0,0,0,1,0,1,0,0,0,0,0
tt0106977,0,0,1,1,0,1,0,0,1,0,0
tt0107007,0,0,0,1,0,0,0,0,0,1,0
tt0107048,0,1,0,0,1,0,1,0,0,0,0
tt0107079,0,0,0,1,0,1,0,0,0,0,0
tt0107120,0,1,0,0,0,0,1,1,0,0,0
tt0107254,0,0,0,0,0,1,1,0,0,0,0
tt0107290,0,0,0,0,0,1,1,0,1,0,0
tt0107362,0,1,0,0,0,0,1,0,1,0,0
tt0107554,0,0,1,1,0,1,0,0,0,0,0
tt0107614,0,1,0,1,1,0,0,1,0,0,0
tt0107659,0,1,1,0,0,0,0,0,1,0,0
tt0107711,0,0,1,1,1,1,0,0,1,0,0
tt0107719,0,0,0,0,0,0,1,1,0,0,1
tt0107750,0,0,0,1,0,0,0,0,1,0,0
tt0107798,0,0,1,1,0,1,0,0,0,0,0
tt0107818,0,0,0,1,0,0,0,0,0,0,0
tt0107840,0,0,0,1,1,0,0,0,0,0,0
tt0107953,0,0,0,0,1,1,1,0,0,0,0
tt0107978,0,0,1,0,0,1,1,0,1,0,0
tt0108000,0,0,0,1,1,0,0,0,0,0,0
tt0108052,1,0,0,1,0,0,0,0,0,1,0
tt0108308,0,1,0,0,0,0,1,1,1,0,0
tt0108320,0,1,0,1,0,0,0,0,0,0,0
tt0108358,1,0,0,1,1,0,0,0,1,1,1
tt0108399,0,0,1,1,1,1,0,0,1,0,0
tt0108517,0,0,0,0,0,1,1,0,0,0,0
tt0108550,0,0,0,1,1,0,0,0,0,0,0
